dn,dist,play_type,result,gain/loss,odk,off,def,td,xp,2pt,fg,sm_score,opponent_score,differential,yard_ln,hash,series,off_str,off_form,off_play,play_direction,ret_yards,team,opp_team,home,away,play_#,qtr,personnel,motion,motion_dir,passer_jersey,passer_name,receiver_jersey,receiver_name,rusher_jersey,rusher_name,backfield,eff,opp_rusher,opp_passer,opp_receiver,comment,tempo,protection,def_call,fs_jersey,fs_name,fs_grd,rb*_jersey,rb*_name,rb*_grade,play_category,km_notes,ball_carrier_jersey,ball_carrier_name,bs,stud_grd,concept,2_min_o,rpo,def_front,blitz,game,game_id,play_id,game_seconds_remaining,score_differential,yardline_100,play_type_encoded
2,7,Pass,Complete,8.0,O,SMHS,OAKS,,,,,0,0,0,-39,L,1,R,TRIPLE,ICE,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,11,1,PONY,,,9.0,James Johnson,,,,,EMPTY,Y,,,,,,,,,,,4.0,Trent Mosley,1.0,QUICK,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,2,,0,139,1.0
1,10,Run,Rush,4.0,O,SMHS,OAKS,,,,,0,0,0,-47,L,1,R,TREY,IOWA,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,12,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",STR,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,3,,0,147,0.0
2,6,Run,Penalty,-11.0,O,SMHS,OAKS,,,,,0,0,0,49,M,1,L,TRIPLE,FREMONT,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,13,1,BASE,,L,,,,,4.0,Trent Mosley,EMPTY,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RUN,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,4,,0,51,0.0
2,17,Pass,Complete,-1.0,O,SMHS,OAKS,,,,,0,0,0,-40,M,1,R,TREY,RAT,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,14,1,BASE,,R,9.0,James Johnson,22.0,"Jaion ""Duce"" Smith",,,STR,N,,,,,,RAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,PRO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,5,,0,140,1.0
3,18,Pass,Complete,12.0,O,SMHS,OAKS,,,,,0,0,0,-39,R,1,L,TREY,CALI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,15,1,PONY,BOX,L,9.0,James Johnson,,,,,STR,N,,,,,,SCAT,,,,,,,1.0,DROPBACK,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,6,,0,139,1.0
4,6,,Penalty,-5.0,O,SMHS,OAKS,,,,,0,0,0,49,R,1,,STUD,,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,16,1,,,,9.0,James Johnson,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Christian School,7,7,,0,51,
1,10,Pass,"Complete, TD",80.0,O,SMHS,OAKS,1.0,,,,6,0,6,-20,M,2,L,TRIPLE,FOLSOM,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,26,1,PONY,F CROSS,L,1.0,John Gazzaniga,4.0,Trent Mosley,,,EMPTY,Y,,,,,,FOLSOM,,,,,4.0,Trent Mosley,1.0,SCREEN,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,8,,6,120,1.0
1,10,Run,Rush,1.0,O,SMHS,OAKS,,,,,6,0,6,-20,L,3,R,TRIPLE,Q PHILLY,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,34,1,BASE,FLY,R,,,,,9.0,James Johnson,EMPTY,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,Q RUN,,9.0,James Johnson,,,,,,,,Oaks Christian School,7,9,,6,120,0.0
2,9,Pass,Complete,10.0,O,SMHS,OAKS,,,,,6,0,6,-21,L,3,BAL,ACE,BULL NOW,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,35,1,BASE,,,9.0,James Johnson,,,,,P,Y,,,,,1.0,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RPO,,,,,,,,,,,Oaks Christian School,7,10,,6,121,1.0
1,10,Run,Rush,-2.0,O,SMHS,OAKS,,,,,6,0,6,-31,L,3,BAL,ACE,BULL NOW,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,36,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,N,,,,,1.0,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RPO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,11,,6,131,0.0
2,12,Pass,"Interception, Def TD",,O,SMHS,OAKS,1.0,,,,6,6,0,-29,L,3,BAL,ACE,NASCAR 2,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,37,1,BASE,,,9.0,James Johnson,,,,,P,N,,,,,2.0,62,,,,,22.0,"Jaion ""Duce"" Smith",1.0,PLAY ACTION,,,,,,,,,,,Oaks Christian School,7,12,,0,129,1.0
1,10,Run,Rush,14.0,O,SMHS,OAKS,,,,,6,7,-1,-15,L,4,R,TREY,IOWA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,42,2,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",STR,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,13,,-1,115,0.0
1,10,Pass,Complete,-3.0,O,SMHS,OAKS,,,,,6,7,-1,-29,L,4,R,DEUCE,ICE,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,43,2,BASE,BLAST,,1.0,John Gazzaniga,,,,,STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,QUICK,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,14,,-1,129,1.0
2,13,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,6,7,-1,-26,R,4,L,TREY,REEBOK,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,44,2,BASE,,,1.0,John Gazzaniga,,,,,P,N,,,,,,REEBOK,,,,,22.0,"Jaion ""Duce"" Smith",0.0,NAKED,,,,,,,,,,,Oaks Christian School,7,15,,-1,126,1.0
3,13,Pass,Penalty,15.0,O,SMHS,OAKS,,,,,6,7,-1,-26,R,4,L,TREY,STREAK SWITCH,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,45,2,BASE,,,1.0,John Gazzaniga,,,,,STR,Y,,,,,,THOR,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,,,,,,,,,,Oaks Christian School,7,16,,-1,126,1.0
1,10,Run,Rush,24.0,O,SMHS,OAKS,,,,,6,7,-1,-41,R,4,L,TREY,IOWA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,46,2,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",WK,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,17,,-1,141,0.0
1,10,Pass,Scramble,3.0,O,SMHS,OAKS,,,,,6,7,-1,35,L,4,R,TREY,NIKE TRAIL,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,47,2,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",STR,N,,,,,,NIKE,,,,,22.0,"Jaion ""Duce"" Smith",0.0,NAKED,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,18,,-1,65,1.0
2,7,Pass,Rush,-4.0,O,SMHS,OAKS,,,,,6,7,-1,32,R,4,R,DBLS,SHALLOW,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,48,2,BASE,,,,,,,1.0,John Gazzaniga,STR,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,19,,-1,68,1.0
3,11,,Penalty,-5.0,O,SMHS,OAKS,,,,,6,7,-1,36,R,4,,,,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,49,2,BASE,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Christian School,7,20,,-1,64,
3,16,Pass,Complete,16.0,O,SMHS,OAKS,,,,,6,7,-1,41,R,4,L,TRIPLE,ALCATRAZ,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,50,2,BASE,FLY,L,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,,FREMONT ALCATRAZ,,,,,22.0,"Jaion ""Duce"" Smith",0.0,SCREEN,,,,,,,,,,,Oaks Christian School,7,21,,-1,59,1.0
1,10,Run,Rush,2.0,O,SMHS,OAKS,,,,,6,7,-1,25,R,4,L,DBLS,IOWA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,51,2,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",WK,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,22,,-1,75,0.0
2,8,Run,Rush,2.0,O,SMHS,OAKS,,,,,6,7,-1,23,R,4,L,DAISY,FREMONT,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,52,2,BASE,,L,,,,,4.0,Trent Mosley,STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,4.0,Trent Mosley,,,,,,,,Oaks Christian School,7,23,,-1,77,0.0
3,6,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,6,7,-1,21,L,4,L,DEUCE,BARB,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,53,2,BASE,BLAST,,1.0,John Gazzaniga,,,,,WK,N,,,,,,ROCKET,,,,,22.0,"Jaion ""Duce"" Smith",1.0,MOVEMENT,,,,,,,,,,,Oaks Christian School,7,24,,-1,79,1.0
1,10,Pass,"Complete, TD",72.0,O,SMHS,OAKS,1.0,,,,15,14,1,-28,L,6,R,NUB,FOLSOM POP,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,74,2,BASE,,,1.0,John Gazzaniga,,,,,STR,Y,,,,,,82,,,,,22.0,"Jaion ""Duce"" Smith",1.0,PLAY ACTION,,,,,,,,,,,Oaks Christian School,7,25,,1,128,1.0
1,10,Pass,Penalty,23.0,O,SMHS,OAKS,,,,,17,14,3,-21,M,7,L,TRIPLE,NASCAR 2,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,83,2,PONY,,,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,2.0,,,,,,,,,DROPBACK,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,26,,3,121,1.0
1,10,Pass,Complete,15.0,O,SMHS,OAKS,,,,,17,14,3,-44,L,7,L,DBLS,SPECIAL,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,84,2,BASE,,R,1.0,John Gazzaniga,,,,,WK,Y,,,,,,82,,,,,22.0,"Jaion ""Duce"" Smith",1.0,PLAY ACTION,,,,,,,,,,,Oaks Christian School,7,27,,3,144,1.0
1,10,Pass,"Complete, TD",41.0,O,SMHS,OAKS,1.0,,,,23,14,9,41,R,7,L,NUB,SPECIAL,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,85,2,BASE,,,1.0,John Gazzaniga,,,,,STR,Y,,,,,,83,,,,,22.0,"Jaion ""Duce"" Smith",0.0,PLAY ACTION,,,,,,,,,,,Oaks Christian School,7,28,,9,59,1.0
1,10,Run,Rush,-1.0,O,SMHS,OAKS,,,,,23,17,6,-20,M,9,BAL,VICTORY,VICTORY,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,102,2,VICTORY,,,,,,,1.0,John Gazzaniga,,N,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Christian School,7,29,,6,120,0.0
1,10,Run,Rush,2.0,O,SMHS,OAKS,,,,,23,17,6,-20,L,8,R,NUB OFF,IOWA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,104,3,BASE,,,,,,,9.0,James Johnson,STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,30,,6,120,0.0
2,8,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,23,17,6,-22,L,8,R,TREY,HAWKEYE,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,105,3,BASE,,,9.0,James Johnson,87.0,Fisher Melton,,,STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,,,,,,,,,,Oaks Christian School,7,31,,6,122,1.0
3,8,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,23,17,6,-22,L,8,R,TREY,FLAT,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,106,3,BASE,,,9.0,James Johnson,,,,,STR,N,,,,,,ROCKET,,,,,22.0,"Jaion ""Duce"" Smith",1.0,MOVEMENT,,,,,,,,,,,Oaks Christian School,7,32,,6,122,1.0
1,10,Run,Rush,8.0,O,SMHS,OAKS,,,,,23,17,6,-20,R,9,L,TREY,PHILLY,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,112,3,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",STR,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,33,,6,120,0.0
2,2,,Penalty,-5.0,O,SMHS,OAKS,,,,,23,17,6,-28,R,9,BAL,ACE,BULL NOW,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,113,3,BASE,,,,,,,,,P,N,,,,,1.0,,,,,,,,,RPO,,,,,,,,,,,Oaks Christian School,7,34,,6,128,
2,7,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,23,17,6,-23,R,9,L,TRIPLE,STICK BOW SWITCH,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,114,3,BASE,,,1.0,John Gazzaniga,,,,,EMPTY,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,QUICK,,,,,,,,,,,Oaks Christian School,7,35,,6,123,1.0
3,7,Pass,Complete,9.0,O,SMHS,OAKS,,,,,23,17,6,-23,R,9,L,HOUSE,CALI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,115,3,BASE,,,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,,,,,,,,,,Oaks Christian School,7,36,,6,123,1.0
1,10,Pass,Penalty,-10.0,O,SMHS,OAKS,,,,,23,17,6,-32,R,9,L,HOUSE,CALI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,116,3,BASE,,,1.0,John Gazzaniga,,,,,EMPTY,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,,,,,,,,,,Oaks Christian School,7,37,,6,132,1.0
1,20,Pass,Sack,-1.0,O,SMHS,OAKS,,,,,23,17,6,-22,R,9,L,HOUSE,CALI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,117,3,BASE,,,,,,,1.0,John Gazzaniga,EMPTY,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,38,,6,122,1.0
2,21,Pass,Scramble,13.0,O,SMHS,OAKS,,,,,23,17,6,-21,R,9,L,HOUSE,CALI,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,118,3,BASE,,,,,,,1.0,John Gazzaniga,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,39,,6,121,1.0
3,8,Pass,Scramble,15.0,O,SMHS,OAKS,,,,,23,17,6,-34,L,9,R,TRIPLE,STICK BOW SWITCH,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,119,3,BASE,,,,,,,1.0,John Gazzaniga,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,QUICK,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,40,,6,134,1.0
1,10,Run,Rush,8.0,O,SMHS,OAKS,,,,,23,17,6,-49,R,9,R,DEUCE,IOWA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,120,3,BASE,,,,,,,1.0,John Gazzaniga,WK,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,1.0,John Gazzaniga,,,,,,,,Oaks Christian School,7,41,,6,149,0.0
2,2,Pass,Complete,8.0,O,SMHS,OAKS,,,,,23,17,6,43,M,9,L,TREO,JAYHAWK,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,121,3,BASE,,,1.0,John Gazzaniga,87.0,Fisher Melton,,,WK,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,87.0,Fisher Melton,,,,,,,,Oaks Christian School,7,42,,6,57,1.0
1,10,Run,Rush,8.0,O,SMHS,OAKS,,,,,23,17,6,35,L,9,R,NUB,LA,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,122,3,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,43,,6,65,0.0
2,2,Run,Rush,4.0,O,SMHS,OAKS,,,,,23,17,6,27,L,9,R,NUB,IOWA,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,123,3,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",WK,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,44,,6,73,0.0
1,10,Run,Rush,5.0,O,SMHS,OAKS,,,,,23,17,6,23,M,9,BAL,SOLO,MISSOURI,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,124,3,12,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,45,,6,77,0.0
2,5,Run,Rush,-2.0,O,SMHS,OAKS,,,,,23,17,6,18,R,9,BAL,SOLO,MISSOURI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,125,3,12,,,,,,,22.0,"Jaion ""Duce"" Smith",P,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,46,,6,82,0.0
3,7,Run,Rush,2.0,O,SMHS,OAKS,,,,,23,17,6,20,R,9,R,TURTLE,IOWA,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,126,3,12,,,,,,,22.0,"Jaion ""Duce"" Smith",STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,47,,6,80,0.0
4,5,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,23,17,6,18,R,9,L,TRIPLE,STICK BOW SWITCH,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,127,3,BASE,,,1.0,John Gazzaniga,,,,,EMPTY,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,QUICK,,,,,,,,,,,Oaks Christian School,7,48,,6,82,1.0
1,10,Pass,Complete,-6.0,O,SMHS,OAKS,,,,,23,17,6,-44,R,10,L,TREO,LIZARD,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,132,4,PONY,BANG,,1.0,John Gazzaniga,22.0,"Jaion ""Duce"" Smith",,,STR,N,,,,,,LIZARD,,,,,,,1.0,SCREEN,,,,,,,,,,,Oaks Christian School,7,49,,6,144,1.0
2,16,Pass,Complete,10.0,O,SMHS,OAKS,,,,,23,17,6,-38,L,10,R,EMPTY,STICK B OPTION,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,133,4,PONY,,,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,,SCAT,,,,,,,1.0,QUICK,,,,,,,,,,,Oaks Christian School,7,50,,6,138,1.0
3,6,Pass,Complete,13.0,O,SMHS,OAKS,,,,,23,17,6,-48,L,10,R,TREO,STICK B OPTION,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,134,4,PONY,BOX,L,1.0,John Gazzaniga,,,,,WK,Y,,,,,,SCAT,,,,,,,1.0,QUICK,,,,,,,,,,,Oaks Christian School,7,51,,6,148,1.0
1,10,Pass,Incomplete,0.0,O,SMHS,OAKS,,,,,23,17,6,39,L,10,R,EMPTY,NASCAR 4 POISON,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,135,4,PONY,,,1.0,John Gazzaniga,,,,,EMPTY,N,,,,,4.0,SCAT,,,,,,,1.0,DROPBACK,,,,,,,,,,,Oaks Christian School,7,52,,6,61,1.0
2,10,Pass,Complete,21.0,O,SMHS,OAKS,,,,,23,17,6,39,L,10,R,TREO,SPECIAL,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,136,4,PONY,BOY,R,1.0,John Gazzaniga,,,,,STR,Y,,,,,,SCAT,,,,,,,1.0,DROPBACK,,,,,,,,,,,Oaks Christian School,7,53,,6,61,1.0
1,10,,Penalty,-5.0,O,SMHS,OAKS,,,,,23,17,6,18,R,10,R,QUEEN,,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,137,4,,,,,,,,,,P,N,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Christian School,7,54,,6,82,
1,15,Pass,Complete,22.0,O,SMHS,OAKS,,,,,23,17,6,23,R,10,R,QUEEN,NIKE SLIDE,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,138,4,12,,,1.0,John Gazzaniga,,,,,P,Y,,,,,,NIKE,,,,,22.0,"Jaion ""Duce"" Smith",1.0,NAKED,,13.0,Grant Mosley,,,,,,,,Oaks Christian School,7,55,,6,77,1.0
1,1,Run,Rush,-4.0,O,SMHS,OAKS,,,,,23,17,6,1,L,10,R,KING,KANSAS,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,139,4,12,,,,,,,22.0,"Jaion ""Duce"" Smith",WK,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Oaks Christian School,7,56,,6,99,0.0
2,5,Run,"Rush, TD",5.0,O,SMHS,OAKS,1.0,,,,29,17,12,5,M,10,BAL,SOLO,MISSOURI,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,140,4,12,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,,,1.0,RUN,,,,,,,,,,,Oaks Christian School,7,57,,12,95,0.0
1,10,Run,Penalty,-2.0,O,SMHS,OAKS,,,,,37,17,20,-49,M,11,BAL,SOLO,MISSOURI,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,154,4,12,,,,,,,22.0,"Jaion ""Duce"" Smith",P,N,,,,,,,,,,,25.0,Griffin Brahm,1.0,RUN,,25.0,Griffin Brahm,,,,,,,,Oaks Christian School,7,58,,20,149,0.0
1,12,Run,Rush,3.0,O,SMHS,OAKS,,,,,37,17,20,-47,L,11,BAL,SOLO,Q MIZZOU,L,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,155,4,12,,,,,,,6.0,Hayes Cloutier,,N,,,,,,,,,,,25.0,Griffin Brahm,1.0,Q RUN,,6.0,Hayes Cloutier,,,,,,,,Oaks Christian School,7,59,,20,147,0.0
2,9,Run,Rush,-3.0,O,SMHS,OAKS,,,,,37,17,20,50,L,11,BAL,SOLO,18,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,156,4,12,,,,,,,6.0,Hayes Cloutier,,N,,,,,,,,,,,25.0,Griffin Brahm,0.0,Q RUN,,6.0,Hayes Cloutier,,,,,,,,Oaks Christian School,7,60,,20,50,0.0
3,12,Run,Rush,6.0,O,SMHS,OAKS,,,,,37,17,20,-47,R,11,BAL,SOLO,MISSOURI,R,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,157,4,12,,,,,,,25.0,Griffin Brahm,P,N,,,,,,,,,,,25.0,Griffin Brahm,1.0,RUN,,25.0,Griffin Brahm,,,,,,,,Oaks Christian School,7,61,,20,147,0.0
4,6,,Timeout,0.0,O,SMHS,OAKS,,,,,37,17,20,47,R,11,,SOLO,,,,SMHS,Oaks Christian School,SMHS,Oaks Christian School,158,4,,,,,,,,,,P,N,,,,,,,,,,,,,,,,,,,,,,,,,Oaks Christian School,7,62,,20,53,
1,10,Run,Rush,4.0,O,SMHS,LEUZINGER,,,,,0,0,0,-27,R,1,R,DBLS,PLOW,R,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,3,1,BASE,,,,,,,23.0,Ryan Clark,P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,1,,0,127,0.0
2,6,Run,Rush,3.0,O,SMHS,LEUZINGER,,,,,0,0,0,-31,R,1,R,DBLS,OHIO,R,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,4,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,2,,0,131,0.0
3,3,Run,Rush,3.0,O,SMHS,LEUZINGER,,,,,0,0,0,-34,M,1,R,DBLS,KANSAS,R,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,5,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,3,,0,134,0.0
1,10,Run,Rush,9.0,O,SMHS,LEUZINGER,,,,,0,0,0,-37,M,1,L,TREO,BULL STICK,L,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,6,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,4,,0,137,0.0
2,1,Run,Rush,5.0,O,SMHS,LEUZINGER,,,,,0,0,0,-46,M,1,R,DEUCE,OHIO,R,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,7,1,BASE,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,5,,0,146,0.0
1,10,Run,Rush,0.0,O,SMHS,LEUZINGER,,,,,0,0,0,49,M,1,L,KING,OHIO,R,,SMHS,Leuzinger High School,Leuzinger High School,SMHS,8,1,12,,,,,,,22.0,"Jaion ""Duce"" Smith",P,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RUN,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Leuzinger High School,3,6,,0,51,0.0
