dn,dist,play_type,result,gain/loss,odk,off,def,td,xp,2pt,fg,sm_score,opponent_score,differential,yard_ln,hash,series,off_str,off_form,off_play,play_direction,ret_yards,team,opp_team,home,away,play_#,qtr,personnel,motion,motion_dir,passer_jersey,passer_name,receiver_jersey,receiver_name,rusher_jersey,rusher_name,backfield,eff,opp_rusher,opp_passer,opp_receiver,comment,tempo,protection,def_call,fs_jersey,fs_name,fs_grd,rb*_jersey,rb*_name,rb*_grade,play_category,km_notes,ball_carrier_jersey,ball_carrier_name,bs,stud_grd,concept,2_min_o,rpo,def_front,blitz,game,game_id,play_id,game_seconds_remaining,score_differential,yardline_100,play_type_encoded
3,7,Pass,Complete,6.0,O,SMHS,MVHS,,,,,0,6,-6,11,M,1,R,KING,PELICAN,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,31,1,,X HOP,R,1.0,John Gazzaniga,,,,,WK,Y,,,,,,PELICAN,,,,,,,1.0,SCREEN,,,,,,,,,,,Mission Viejo High School,6,15,,-6,89,1.0
4,2,Run,Rush,0.0,O,SMHS,MVHS,,,,,0,6,-6,6,L,1,BAL,POPEYE,STAR,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,32,1,,,,,,,,1.0,John Gazzaniga,,N,,,,,,,,,,,,,,RUN,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,16,,-6,94,0.0
1,10,Run,Rush,-16.0,O,SMHS,MVHS,,,,,0,6,-6,45,M,2,R,DAISY,INDIANA,L,0.0,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,37,2,,F FLY,R,,,,,22.0,"Jaion ""Duce"" Smith",WK,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,,,,,,,,,,,Mission Viejo High School,6,17,,-6,55,0.0
2,26,Pass,Complete,10.0,O,SMHS,MVHS,,,,,0,6,-6,-39,M,2,R,TREO,FOLSOM,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,38,2,,BANG,,1.0,John Gazzaniga,4.0,Trent Mosley,,,STR,N,,,,,,FOLSOM,,,,,22.0,"Jaion ""Duce"" Smith",0.0,SCREEN,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,18,,-6,139,1.0
3,16,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,6,-6,-49,R,2,L,TREY,ALCATRAZ,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,39,2,,,,1.0,John Gazzaniga,74.0,Enrique Diego Chavez,,,STR,N,,,,,,LASER,,,,,22.0,"Jaion ""Duce"" Smith",1.0,SCREEN,,,,,,,,,,,Mission Viejo High School,6,19,,-6,149,1.0
1,10,Pass,Sack,-7.0,O,SMHS,MVHS,,,,,0,6,-6,-19,L,3,R,TREO,TRUCK,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,45,2,,,,1.0,John Gazzaniga,,,,,WK,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,DROPBACK,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,20,,-6,119,1.0
2,17,Pass,Complete,7.0,O,SMHS,MVHS,,,,,0,6,-6,-12,L,3,BAL,ACE,BULL NOW,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,46,2,BASE,,,1.0,John Gazzaniga,,,,,P,N,,,,,1.0,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RPO,,,,,,,,,,,Mission Viejo High School,6,21,,-6,112,1.0
3,10,Pass,Interception,,O,SMHS,MVHS,,,,,0,6,-6,-19,L,3,R,TREO,RATTLE,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,47,2,,,,1.0,John Gazzaniga,,,,,STR,N,,,,,,62,,,,,22.0,"Jaion ""Duce"" Smith",0.0,DROPBACK,,,,,,,,,,,Mission Viejo High School,6,22,,-6,119,1.0
1,10,Run,Rush,3.0,O,SMHS,MVHS,,,,,0,6,-6,-5,L,4,R,TWINS,MISSOURI,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,62,2,,,,,,,,22.0,"Jaion ""Duce"" Smith",P,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RUN,STACK AND STAY TIGHT,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,23,,-6,105,0.0
2,7,Pass,"Interception, Def TD",,O,SMHS,MVHS,1.0,,,,0,12,-12,-8,L,4,BAL,OPEN,SPOT,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,63,2,,BANG,R,1.0,John Gazzaniga,,,,,,,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,,,,,,,,,,Mission Viejo High School,6,24,,-12,108,1.0
1,10,Pass,Complete,10.0,O,SMHS,MVHS,,,,,0,14,-14,-15,L,5,R,DIAPER,Y OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,66,2,,,,1.0,John Gazzaniga,87.0,Fisher Melton,,,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,87.0,Fisher Melton,,,,,,,,Mission Viejo High School,6,25,,-14,115,1.0
1,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,14,-14,-25,L,5,R,DIAPER,Y OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,67,2,,,,1.0,John Gazzaniga,87.0,Fisher Melton,,,EMPTY,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,,,,,,,,,,Mission Viejo High School,6,26,,-14,125,1.0
2,10,Pass,Complete,5.0,O,SMHS,MVHS,,,,,0,14,-14,-25,L,5,R,DIAPER,FOLSOM,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,68,2,,,,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,,FOLSOM,,,,,22.0,"Jaion ""Duce"" Smith",0.0,SCREEN,,,,,,,,,,,Mission Viejo High School,6,27,,-14,125,1.0
3,5,Pass,Penalty,15.0,O,SMHS,MVHS,,,,,0,14,-14,-30,M,5,L,DIAPER,Y OPTION,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,69,2,,,,1.0,John Gazzaniga,87.0,Fisher Melton,,,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,,,,,,,,,,Mission Viejo High School,6,28,,-14,130,1.0
1,10,Pass,Complete,0.0,O,SMHS,MVHS,,,,,0,14,-14,-45,M,5,L,TREO,RAT,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,70,2,,,L,6.0,Hayes Cloutier,22.0,"Jaion ""Duce"" Smith",,,STR,N,,,,,,RAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,PRO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,29,,-14,145,1.0
2,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,14,-14,-45,L,5,R,TREO,TRUCK,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,71,2,,,,1.0,John Gazzaniga,16.0,Joaquin Cooke,,,WK,N,,,,,,63,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,FOCUS ON INSIDE HAT,,,,,,,,,,Mission Viejo High School,6,30,,-14,145,1.0
3,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,14,-14,-45,L,5,,CLAMP,SUPERMAN,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,72,2,,YOYO,R,1.0,John Gazzaniga,4.0,Trent Mosley,,,,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,,,,,,,,,,Mission Viejo High School,6,31,,-14,145,1.0
1,10,Pass,Interception,,O,SMHS,MVHS,,,,,0,14,-14,-29,L,5,R,KING,OHIO,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,76,3,,,,1.0,John Gazzaniga,,,,,STR,N,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,,,,,,,,,,Mission Viejo High School,6,32,,-14,129,1.0
1,10,Pass,Sack,-5.0,O,SMHS,MVHS,,,,,0,21,-21,-25,L,6,R,TRIPLE,B OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,84,3,,,,1.0,John Gazzaniga,,,,,EMPTY,N,,,,,,SCAT,,,,,4.0,Trent Mosley,1.0,QUICK,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,33,,-21,125,1.0
2,15,Pass,Sack,15.0,O,SMHS,MVHS,,,,,0,21,-21,-20,L,6,R,TREO,HAMMER,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,85,3,,,,1.0,John Gazzaniga,,,,,WK,Y,,,,,,LOU GANG,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,34,,-21,120,1.0
1,10,Pass,Rush,-2.0,O,SMHS,MVHS,,,,,0,21,-21,-35,L,6,BAL,OPEN,NASCAR 4 POISON,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,86,3,,,,,,,,1.0,John Gazzaniga,,N,,,,,4.0,65,,,,,22.0,"Jaion ""Duce"" Smith",0.0,PLAY ACTION,,1.0,John Gazzaniga,,,,,,,,Mission Viejo High School,6,35,,-21,135,1.0
2,12,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,-33,L,6,R,TREO,FOLSOM,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,87,3,,BANG,R,1.0,John Gazzaniga,4.0,Trent Mosley,,,STR,N,,,,,,FOLSOM,,,,,22.0,"Jaion ""Duce"" Smith",0.0,SCREEN,MOTION AND SPEED,,,,,,,,,,Mission Viejo High School,6,36,,-21,133,1.0
3,12,Pass,Complete,11.0,O,SMHS,MVHS,,,,,0,21,-21,-33,L,6,R,HOUSE,CALI,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,88,3,,,,1.0,John Gazzaniga,4.0,Trent Mosley,,,EMPTY,N,,,,,,SCAT,,,,,25.0,Griffin Brahm,1.0,DROPBACK,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,37,,-21,133,1.0
4,1,Run,Rush,9.0,O,SMHS,MVHS,,,,,0,21,-21,-44,L,6,BAL,POPEYE,POWER,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,89,3,POPEYE,,,,,,,4.0,Trent Mosley,,Y,,,,,,,,,,,4.0,Trent Mosley,1.0,RUN,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,38,,-21,144,0.0
1,10,,Timeout,0.0,O,SMHS,MVHS,,,,,0,21,-21,47,L,6,,,,,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,90,3,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,Mission Viejo High School,6,39,,-21,53,
1,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,47,L,6,R,TREO,TSUNAMI,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,91,3,,,,1.0,John Gazzaniga,13.0,Grant Mosley,,,STR,N,,,,,,ROPE,,,,,25.0,Griffin Brahm,1.0,MOVEMENT,,,,,,,,,,,Mission Viejo High School,6,40,,-21,53,1.0
2,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,47,L,6,BAL,OPEN,HOOK SWITCH,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,92,3,,,,1.0,John Gazzaniga,,,,,,N,,,,,,62,,,,,25.0,Griffin Brahm,1.0,DROPBACK,,,,,,,,,,,Mission Viejo High School,6,41,,-21,53,1.0
3,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,47,L,6,R,TREO,CHAPPELLE,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,93,3,,,,6.0,Hayes Cloutier,,,,,WK,N,,,,,,SCAT,,,,,25.0,Griffin Brahm,1.0,QUICK,,,,,,,,,,,Mission Viejo High School,6,42,,-21,53,1.0
4,10,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,47,L,6,R,TREO,BOW,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,94,3,,,,6.0,Hayes Cloutier,,,,,WK,N,,,,,,LOU,,,,,25.0,Griffin Brahm,1.0,DROPBACK,,,,,,,,,,,Mission Viejo High School,6,43,,-21,53,1.0
